Kala pikkpoiss (mahe sibul ja muna);100;207;15.55;12.27;8.61
Valge kaste maitserohelisega;100;83;1.90;6.04;5.67
Küpsetatud kaalikapulgad (mahe);65;36;0.80;1.54;5.77
Keedetud kartulid (mahe);65;68;1.73;0.09;15.38
Keedetud pärl kuskuss;65;81;2.50;1.69;14.22
Punane kapsas (mahe), kõrvits, porgand (mahe), spinat;150;36;1.99;0.45;7.35
Kastmevalik salatitele;20;112;0.23;12.18;0.48
Seemnesegu;20;110;4.56;8.74;4.97
Kodujuust R4-5%;20;20;2.80;0.80;0.48
Vesi;180;0;0;0;0
Maitsevesi;180;3;0.13;0.17;0.86
Marjamorss;180;75;0.28;0.03;18.00
Piimatooted (mahe piim 4-4.4%, keefir 2.5%);180;98;5.84;4.73;8.23
Leivatoodete valik sh rukkileib (5 sorti);100;287;8.21;3.36;53.24
Õun (mahe);70;28;0.14;0.25;6.93
Valge redis;100;16;1.00;0.10;3.50
